title,studio,domestic_gross_x,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,release_year,profit,ROI,roi_percentage
Toy Story 3,BV,415000000.0,652000000.0,2010,47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,2010,868879522,4.34439761,434.439761
Inception,WB,292600000.0,535700000.0,2010,38,2010-07-16,Inception,160000000,292576195,835524642,2010,675524642,4.2220290125,422.20290125
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,27,2010-05-21,Shrek Forever After,165000000,238736787,756244673,2010,591244673,3.5833010484848486,358.3301048484849
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,53,2010-06-30,The Twilight Saga: Eclipse,68000000,300531751,706102828,2010,638102828,9.383865117647058,938.3865117647058
Iron Man 2,Par.,312400000.0,311500000.0,2010,15,2010-05-07,Iron Man 2,170000000,312433331,621156389,2010,451156389,2.653861111764706,265.3861111764706
Tangled,BV,200800000.0,391000000.0,2010,15,2010-11-24,Tangled,260000000,200821936,586477240,2010,326477240,1.2556816923076923,125.56816923076923
Despicable Me,Uni.,251500000.0,291600000.0,2010,50,2010-07-09,Despicable Me,69000000,251513985,543464573,2010,474464573,6.87629815942029,687.6298159420289
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,30,2010-03-26,How to Train Your Dragon,165000000,217581232,494870992,2010,329870992,1.9992181333333334,199.92181333333335
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950,2010,263186950,1.6979803225806451,169.79803225806452
The Karate Kid,Sony,176600000.0,182500000.0,2010,77,2010-06-11,The Karate Kid,40000000,176591618,351774938,2010,311774938,7.79437345,779.437345
Black Swan,FoxS,107000000.0,222400000.0,2010,46,2010-12-03,Black Swan,13000000,106954678,331266710,2010,318266710,24.482054615384616,2448.205461538462
Megamind,P/DW,148400000.0,173500000.0,2010,47,2010-11-05,Megamind,130000000,148415853,321887208,2010,191887208,1.4760554461538462,147.60554461538462
Robin Hood,Uni.,105300000.0,216400000.0,2010,39,2010-05-14,Robin Hood,210000000,105487148,322459006,2010,112459006,0.5355190761904762,53.551907619047626
The Last Airbender,Par.,131800000.0,187900000.0,2010,83,2010-07-01,The Last Airbender,150000000,131772187,319713881,2010,169713881,1.1314258733333333,113.14258733333334
Little Fockers,Uni.,148400000.0,162200000.0,2010,70,2010-12-22,Little Fockers,100000000,148438600,310650574,2010,210650574,2.10650574,210.65057399999998
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,70,2010-09-10,Resident Evil: Afterlife,57500000,60128566,295874190,2010,238374190,4.145638086956522,414.5638086956522
Shutter Island,Par.,128000000.0,166800000.0,2010,52,2010-02-19,Shutter Island,80000000,128012934,299461782,2010,219461782,2.743272275,274.3272275
Salt,Sony,118300000.0,175200000.0,2010,50,2010-07-23,Salt,130000000,118311368,290650494,2010,160650494,1.2357730307692307,123.57730307692307
Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,16,2010-05-27,Sex and the City 2,95000000,95347692,294680778,2010,199680778,2.1019029263157893,210.19029263157893
The Tourist,Sony,67600000.0,210700000.0,2010,85,2010-12-10,The Tourist,100000000,67631157,278731369,2010,178731369,1.78731369,178.731369
The Expendables,LGF,103100000.0,171400000.0,2010,34,2010-08-13,The Expendables,82000000,103068524,268268174,2010,186268174,2.2715630975609757,227.15630975609758
Grown Ups,Sony,162000000.0,109400000.0,2010,34,2010-06-25,Grown Ups,75000000,162001186,272223430,2010,197223430,2.629645733333333,262.9645733333333
True Grit,Par.,171200000.0,81000000.0,2010,29,2010-12-22,True Grit,35000000,171243005,252276928,2010,217276928,6.207912228571429,620.7912228571429
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,13,2010-12-25,Gulliver's Travels,112000000,42779261,232017848,2010,120017848,1.0715879285714285,107.15879285714284
The Social Network,Sony,97000000.0,128000000.0,2010,91,2010-10-01,The Social Network,40000000,96962694,224922135,2010,184922135,4.623053375,462.30533749999995
Valentine's Day,WB (NL),110500000.0,106000000.0,2010,70,2010-02-12,Valentine's Day,52000000,110485654,217569328,2010,165569328,3.1840255384615386,318.40255384615386
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,44,2010-07-14,The Sorcerer's Apprentice,160000000,63150991,217986320,2010,57986320,0.3624145,36.24145
Due Date,WB,100500000.0,111200000.0,2010,84,2010-11-05,Due Date,65000000,100539043,211739043,2010,146739043,2.2575237384615385,225.75237384615386
Eat Pray Love,Sony,80600000.0,124000000.0,2010,67,2010-08-13,Eat Pray Love,60000000,80574010,206598789,2010,146598789,2.44331315,244.331315
Yogi Bear,WB,100200000.0,101300000.0,2010,62,2010-12-17,Yogi Bear,80000000,100246011,204774690,2010,124774690,1.559683625,155.96836249999998
Red,Sum.,90400000.0,108600000.0,2010,63,2010-10-15,Red,60000000,90380162,196439693,2010,136439693,2.273994883333333,227.39948833333332
Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,65,2010-10-20,Paranormal Activity 2,3000000,84752907,177512032,2010,174512032,58.17067733333333,5817.067733333333
The A-Team,Fox,77200000.0,100000000.0,2010,32,2010-06-11,The A-Team,110000000,77222099,177241171,2010,67241171,0.6112833727272727,61.12833727272727
The Other Guys,Sony,119200000.0,51200000.0,2010,74,2010-08-06,The Other Guys,100000000,119219978,170936470,2010,70936470,0.7093647,70.93647
Unstoppable,Fox,81600000.0,86200000.0,2010,19,2010-11-12,Unstoppable,95000000,81562942,165720921,2010,70720921,0.7444307473684211,74.4430747368421
The Book of Eli,WB,94800000.0,62300000.0,2010,64,2010-01-15,The Book of Eli,80000000,94835059,158750817,2010,78750817,0.9843852125,98.43852125
The Town,WB,92200000.0,61800000.0,2010,92,2010-09-17,The Town,37000000,92186262,152566881,2010,115566881,3.1234292162162163,312.3429216216216
Date Night,Fox,98700000.0,53600000.0,2010,99,2010-04-09,Date Night,55000000,98711404,152269033,2010,97269033,1.7685278727272726,176.85278727272726
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,90,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717,2010,39716717,0.39716717,39.716717
The Wolfman,Uni.,62000000.0,77800000.0,2010,91,2010-02-12,The Wolfman,150000000,62189884,142634358,2010,-7365642,-0.04910428,-4.910428
The Bounty Hunter,Sony,67099999.0,69300000.0,2010,73,2010-03-19,The Bounty Hunter,45000000,67061228,135808837,2010,90808837,2.0179741555555557,201.79741555555557
Saw 3D,LGF,45700000.0,90400000.0,2010,79,2010-10-29,Saw 3D,17000000,45710178,133735284,2010,116735284,6.8667814117647055,686.6781411764705
The Fighter,Par.,93600000.0,35600000.0,2010,68,2010-12-10,The Fighter,11000000,93617009,129262388,2010,118262388,10.751126181818181,1075.112618181818
Predators,Fox,52000000.0,75200000.0,2010,35,2010-07-09,Predators,40000000,52000688,127234389,2010,87234389,2.180859725,218.0859725
Dear John,SGem,80000000.0,35000000.0,2010,77,2010-02-05,Dear John,25000000,80014842,142033509,2010,117033509,4.68134036,468.13403600000004
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000.0,2010,17,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383,2010,28026383,0.32972215294117646,32.972215294117646
Tooth Fairy,Fox,60000000.0,52400000.0,2010,23,2010-01-22,Tooth Fairy,48000000,60022256,112610386,2010,64610386,1.3460497083333334,134.60497083333334
Life as We Know It,WB,53400000.0,52300000.0,2010,64,2010-10-08,Life as We Know It,38000000,53374681,105887837,2010,67887837,1.7865220263157895,178.65220263157894
Hereafter,WB,32700000.0,72500000.0,2010,61,2010-10-15,Hereafter,50000000,32746941,108660270,2010,58660270,1.1732054,117.32054000000001
Love and Other Drugs,Fox,32400000.0,70500000.0,2010,29,2010-11-24,Love and Other Drugs,30000000,32367005,102716321,2010,72716321,2.423877366666667,242.38773666666668
Killers,LGF,47100000.0,51100000.0,2010,54,2010-06-04,Killers,75000000,47059963,95572749,2010,20572749,0.27430332,27.430332
Kick-Ass,LGF,48100000.0,48100000.0,2010,54,2010-04-16,Kick-Ass,28000000,48071303,97531134,2010,69531134,2.4832547857142857,248.32547857142856
Green Zone,Uni.,35100000.0,59800000.0,2010,98,2010-03-12,Green Zone,100000000,35497337,97523020,2010,-2476980,-0.0247698,-2.47698
Get Him to the Greek,Uni.,61000000.0,30300000.0,2010,22,2010-06-04,Get Him to the Greek,40000000,61153526,91455875,2010,51455875,1.286396875,128.6396875
Burlesque,SGem,39400000.0,50100000.0,2010,24,2010-11-24,Burlesque,55000000,39440655,90552675,2010,35552675,0.6464122727272728,64.64122727272728
The Last Song,BV,63000000.0,26100000.0,2010,15,2010-03-31,The Last Song,20000000,62950384,92678948,2010,72678948,3.6339474,363.39473999999996
Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010,51,2010-07-30,Dinner for Schmucks,69000000,73026337,86796502,2010,17796502,0.2579203188405797,25.79203188405797
Marmaduke,Fox,33600000.0,50100000.0,2010,59,2010-06-04,Marmaduke,50000000,33644788,89895930,2010,39895930,0.7979186,79.79186
Piranha 3D,W/Dim.,25000000.0,58200000.0,2010,52,2010-08-20,Piranha 3D,24000000,25003155,83660160,2010,59660160,2.48584,248.584
Oceans,BV,19400000.0,63200000.0,2010,2,2010-04-22,Oceans,80000000,19422319,86787530,2010,6787530,0.084844125,8.484412500000001
Edge of Darkness,WB,43300000.0,37800000.0,2010,8,2010-01-29,Edge of Darkness,60000000,43313890,82812456,2010,22812456,0.3802076,38.020759999999996
Vampires Suck,Fox,36700000.0,43900000.0,2010,49,2010-08-18,Vampires Suck,20000000,36661504,81424988,2010,61424988,3.0712494,307.12494000000004
Letters to Juliet,Sum.,53000000.0,26100000.0,2010,89,2010-05-14,Letters to Juliet,30000000,53032453,82148538,2010,52148538,1.7382846,173.82846
Diary of a Wimpy Kid,Fox,64000000.0,11700000.0,2010,13,2010-03-19,Diary of a Wimpy Kid,15000000,64003625,76954311,2010,61954311,4.1302874,413.02874
Easy A,SGem,58400000.0,16600000.0,2010,67,2010-09-17,Easy A,8000000,58401464,76200721,2010,68200721,8.525090125,852.5090125
Takers,SGem,57700000.0,11300000.0,2010,95,2010-08-27,Takers,32000000,57744720,70587268,2010,38587268,1.205852125,120.58521250000001
The American,Focus,35600000.0,32299999.0,2010,51,2010-09-01,The American,20000000,35606376,67950723,2010,47950723,2.39753615,239.753615
The Last Exorcism,LGF,41000000.0,26700000.0,2010,15,2010-08-27,The Last Exorcism,1800000,41034350,70165900,2010,68365900,37.98105555555556,3798.105555555556
The Next Three Days,LGF,21100000.0,46300000.0,2010,49,2010-11-19,The Next Three Days,30000000,21148651,67255916,2010,37255916,1.2418638666666666,124.18638666666666
Skyline,Uni.,21400000.0,45400000.0,2010,99,2010-11-12,Skyline,10000000,21416355,68264973,2010,58264973,5.8264973,582.64973
Hot Tub Time Machine,MGM,50300000.0,14300000.0,2010,10,2010-03-26,Hot Tub Time Machine,36000000,50269859,65967750,2010,29967750,0.8324375,83.24375
Devil,Uni.,33600000.0,29100000.0,2010,71,2010-09-17,Devil,10000000,33679655,63354114,2010,53354114,5.3354114,533.54114
127 Hours,FoxS,18300000.0,42400000.0,2010,6,2010-11-05,127 Hours,18000000,18335230,60217171,2010,42217171,2.345398388888889,234.5398388888889
Secretariat,BV,59700000.0,537000.0,2010,53,2010-10-08,Secretariat,35000000,59699513,60376247,2010,25376247,0.7250356285714286,72.50356285714285
The Ghost Writer,Sum.,15500000.0,44700000.0,2010,11,2010-02-19,The Ghost Writer,45000000,15541549,65532491,2010,20532491,0.4562775777777778,45.62775777777778
Morning Glory,Par.,31000000.0,29000000.0,2010,73,2010-11-10,Morning Glory,40000000,31011732,59795070,2010,19795070,0.49487675,49.487674999999996
Remember Me,Sum.,19100000.0,37000000.0,2010,51,2010-03-12,Remember Me,16000000,19068240,56506120,2010,40506120,2.5316325,253.16325
Cop Out,WB,44900000.0,10700000.0,2010,99,2010-02-26,Cop Out,37000000,44875481,55909910,2010,18909910,0.5110786486486486,51.10786486486486
The Crazies,Over.,39100000.0,15700000.0,2010,36,2010-02-26,The Crazies,19000000,39123589,56445534,2010,37445534,1.9708175789473685,197.08175789473685
Daybreakers,LGF,30100000.0,21300000.0,2010,67,2010-01-08,Daybreakers,20000000,30101577,51445503,2010,31445503,1.57227515,157.227515
The Switch,Mira.,27800000.0,22100000.0,2010,39,2010-08-20,The Switch,19000000,27758465,49858465,2010,30858465,1.6241297368421053,162.41297368421053
She's Out of My League,Par.,32000000.0,17800000.0,2010,62,2010-03-12,She's Out of My League,20000000,32010860,48680977,2010,28680977,1.43404885,143.40488499999998
Charlie St. Cloud,Uni.,31200000.0,17000000.0,2010,31,2010-07-30,Charlie St. Cloud,44000000,31206263,48478084,2010,4478084,0.10177463636363636,10.177463636363635
The Spy Next Door,LGF,24300000.0,20900000.0,2010,68,2010-01-15,The Spy Next Door,28000000,24307106,46752858,2010,18752858,0.6697449285714285,66.97449285714285
Machete,Fox,26600000.0,17500000.0,2010,18,2010-09-03,Machete,12500000,26593646,46370970,2010,33870970,2.7096776,270.96776
My Name is Khan,FoxS,4000000.0,38300000.0,2010,52,2010-02-12,My Name is Khan,8470000,4046336,42355526,2010,33885526,4.000652420306966,400.0652420306966
Going the Distance,WB (NL),17800000.0,24200000.0,2010,11,2010-09-03,Going the Distance,32000000,17804299,43603990,2010,11603990,0.3626246875,36.26246875
Agora,NM,619000.0,38400000.0,2010,49,2010-05-28,Agora,70000000,619423,38992292,2010,-31007708,-0.4429672571428571,-44.296725714285714
For Colored Girls,LGF,37700000.0,17300.0,2010,67,2010-11-05,For Colored Girls,21000000,37729698,38017873,2010,17017873,0.8103749047619048,81.03749047619047
Brooklyn's Finest,Over.,27200000.0,9300000.0,2010,88,2010-03-05,Brooklyn's Finest,17000000,27163593,39233233,2010,22233233,1.3078372352941177,130.78372352941176
Furry Vengeance,Sum.,17600000.0,18600000.0,2010,17,2010-04-30,Furry Vengeance,35000000,17630465,39340177,2010,4340177,0.12400505714285714,12.400505714285714
Faster,CBS,23200000.0,12400000.0,2010,53,2010-11-24,Faster,24000000,23240020,35792945,2010,11792945,0.49137270833333335,49.13727083333333
The Kids Are All Right,Focus,20800000.0,13900000.0,2010,87,2010-07-09,The Kids Are All Right,4000000,20811365,36275469,2010,32275469,8.06886725,806.8867250000001
You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000.0,2010,27,2010-09-22,You Will Meet a Tall Dark Stranger,15000000,3247816,34247816,2010,19247816,1.2831877333333332,128.31877333333333
Leap Year,Uni.,25900000.0,6700000.0,2010,40,2010-01-08,Leap Year,19000000,25918920,32618920,2010,13618920,0.7167852631578947,71.67852631578947
You Again,BV,25700000.0,6300000.0,2010,78,2010-09-24,You Again,20000000,25702053,32838945,2010,12838945,0.64194725,64.19472499999999
The Losers,WB,23600000.0,5800000.0,2010,44,2010-04-23,The Losers,25000000,23591432,29863840,2010,4863840,0.1945536,19.45536
Case 39,ParV,13300000.0,14900000.0,2010,7,2010-10-01,Case 39,27000000,13261851,28773827,2010,1773827,0.0656972962962963,6.56972962962963
Ramona and Beezus,Fox,26200000.0,1100000.0,2010,60,2010-07-23,Ramona and Beezus,15000000,26167002,27469621,2010,12469621,0.8313080666666667,83.13080666666667
Splice,WB,17000000.0,9800000.0,2010,63,2010-06-04,Splice,30000000,17010170,28542494,2010,-1457506,-0.04858353333333333,-4.8583533333333335
Let Me In,Over.,12100000.0,12000000.0,2010,38,2010-10-01,Let Me In,20000000,12134935,28270399,2010,8270399,0.41351995,41.351995
Mao's Last Dancer,Gold.,4800000.0,17500000.0,2010,31,2010-08-20,Mao's Last Dancer,18000000,4806750,25941437,2010,7941437,0.44119094444444446,44.11909444444444
Just Wright,FoxS,21500000.0,29900.0,2010,85,2010-05-14,Just Wright,12000000,21540363,21867665,2010,9867665,0.8223054166666667,82.23054166666667
Our Family Wedding,FoxS,20300000.0,1200000.0,2010,95,2010-03-12,Our Family Wedding,14000000,20255281,21410546,2010,7410546,0.5293247142857143,52.932471428571425
My Soul to Take,Uni.,14700000.0,6200000.0,2010,68,2010-10-08,My Soul to Take,25000000,14744435,16727470,2010,-8272530,-0.3309012,-33.09012
"I Love You, Phillip Morris",RAtt.,2000000.0,18700000.0,2010,2,2010-12-03,"I Love You, Phillip Morris",13000000,2037459,23014027,2010,10014027,0.7703097692307692,77.03097692307692
Country Strong,SGem,20200000.0,310000.0,2010,71,2010-12-22,Country Strong,15000000,20218921,20601987,2010,5601987,0.3734658,37.34658
Another Year,SPC,3200000.0,16500000.0,2010,8,2010-12-29,Another Year,8000000,3205706,20005613,2010,12005613,1.500701625,150.0701625
Youth in Revolt,W/Dim.,15300000.0,4400000.0,2010,13,2010-01-08,Youth in Revolt,18000000,15285588,19685588,2010,1685588,0.09364377777777778,9.36437777777778
Buried,LGF,1000000.0,18100000.0,2010,2,2010-09-24,Buried,1987650,1044143,21270290,2010,19282640,9.701225064774986,970.1225064774986
[Rec] 2,Magn.,27800.0,18500000.0,2010,13,2010-07-09,[Rec] 2,5600000,27766,18527766,2010,12927766,2.3085296428571427,230.85296428571428
Repo Men,Uni.,13800000.0,4600000.0,2010,13,2010-03-19,Repo Men,32000000,13942007,18195238,2010,-13804762,-0.4313988125,-43.13988125
Soul Kitchen,IFC,277000.0,17600000.0,2010,3,2010-08-20,Soul Kitchen,4900000,276901,23347461,2010,18447461,3.7647879591836735,376.4787959183673
